order_id,customer_id,customer_name,gender,age,city,state,region,product_category,product_name,quantity,unit_price,discount,sales,cost,profit,payment_method,order_date,delivery_date,rating,returned,sales_rep,email,phone,remarks,profit_margin,sales_after_discount,calculated_cost,delivery_days,age_group,order_year,order_month,month_name,order_day,day_name,quarter,week_number,username,domain,name_length
4,C440,Rahul,Male,26.0,Bengaluru,KARNATAKA,South,electronics,Mouse,1.7333831217326363,3938.05,5.0,6826.1494025392085,0.0,999999.0,Credit Card,2025-05-20,2025-05-27,1.0,Yes,Sara,rahul@mail.com,98765 43210,Late delivery,inf,0.0,-999999.0,7.0,Young,2025,5,May,20,Tuesday,2,21,rahul,mail.com,5
7,C105,Rahul,Male,16.8125,Bengaluru,KARNATAKA,East,electronics,Mouse,5.0,2509.2257846153843,0.0,12546.128923076922,0.0,999999.0,Credit Card,2025-01-24,2025-10-12,4.0,No,John,rahul@mail.com,+91-9876543210,,inf,0.0,-999999.0,261.0,Teen,2025,1,January,24,Friday,1,4,rahul,mail.com,5
12,C698,Neha,Female,16.8125,Bengaluru,KARNATAKA,South,Eletronics,Mouse,2.0,2509.2257846153843,0.0,5018.451569230769,0.0,0.0,Credit Card,2025-10-15,2025-03-17,5.0,Yes,John,neha@mail.com,9876543210,Late delivery,,0.0,0.0,-212.0,Teen,2025,10,October,15,Wednesday,4,42,neha,mail.com,4
27,C418,Amit,Male,16.8125,Bengaluru,KARNATAKA,South,Electronics,Laptop,5.0,2509.2257846153843,20.0,12546.128923076922,0.0,999999.0,Credit Card,2025-02-02,2025-02-07,3.0,Yes,Sara,amit@mail.com,9876543210,Late delivery,inf,0.0,-999999.0,5.0,Teen,2025,2,February,2,Sunday,1,5,amit,mail.com,4
29,C418,Sneha,Female,32.0,Bengaluru,KARNATAKA,West,Electronics,Phone,1.7333831217326363,682.59,0.0,1183.1899850634802,0.0,0.0,Credit Card,2025-08-25,2025-09-02,2.0,Yes,John,sneha@mail.com,+91-9876543210,Late delivery,,0.0,0.0,8.0,Adult,2025,8,August,25,Monday,3,35,sneha,mail.com,5
47,C536,Sneha,Female,27.0,Bengaluru,KARNATAKA,West,Eletronics,Mouse,1.7333831217326363,4535.86,0.0,7862.383166542195,0.0,0.0,UPI,2025-07-26,2025-08-04,1.0,Yes,Sara,sneha@mail.com,98765 43210,Late delivery,,0.0,0.0,9.0,Young,2025,7,July,26,Saturday,3,30,sneha,mail.com,5
56,C921,Rahul,Male,16.8125,Bengaluru,KARNATAKA,North,Eletronics,Phone,1.7333831217326363,1974.71,0.0,3422.9289843166544,0.0,0.0,Credit Card,2025-06-28,2025-07-04,2.0,No,Sara,rahul@mail.com,9876543210,,,0.0,0.0,6.0,Teen,2025,6,June,28,Saturday,2,26,rahul,mail.com,5
60,C731,Sneha,Female,49.0,Bengaluru,KARNATAKA,North,Electronics,Laptop,9.0,2509.2257846153843,10.0,22583.03206153846,0.0,999999.0,Credit Card,2025-02-21,2025-02-23,2.0,Yes,John,sneha@mail.com,+91-9876543210,,inf,0.0,-999999.0,2.0,Middle Age,2025,2,February,21,Friday,1,8,sneha,mail.com,5
67,C768,Priya,Female,27.59024064171123,Bengaluru,KARNATAKA,East,electronics,Mouse,1.7333831217326363,2509.2257846153843,0.0,4349.449623668638,0.0,999999.0,Credit Card,2025-10-16,2025-10-19,1.0,No,John,priya@mail.com,9876543210,,inf,0.0,-999999.0,3.0,Young,2025,10,October,16,Thursday,4,42,priya,mail.com,5
71,C422,Sneha,Female,25.0,Bengaluru,KARNATAKA,East,Eletronics,Mouse,1.7333831217326363,2509.2257846153843,0.0,4349.449623668638,0.0,0.0,Credit Card,2025-12-21,2025-12-26,5.0,Yes,John,invalid_email,98765 43210,Late delivery,,0.0,0.0,5.0,Young,2025,12,December,21,Sunday,4,51,invalid_email,,5
76,C375,Aditya,Male,50.0,Bengaluru,KARNATAKA,West,electronics,Mouse,1.7333831217326363,417.09,0.0,722.9767662434652,0.0,0.0,Cash,2025-11-19,2025-11-29,2.0,No,John,invalid_email,+91-9876543210,,,0.0,0.0,10.0,Middle Age,2025,11,November,19,Wednesday,4,47,invalid_email,,6
81,C838,Amit,Male,16.8125,Bengaluru,KARNATAKA,North,electronics,Phone,1.7333831217326363,2509.2257846153843,10.0,4349.449623668638,0.0,999999.0,Cash,2025-05-24,2025-05-27,1.0,Yes,John,invalid_email,+91-9876543210,Late delivery,inf,0.0,-999999.0,3.0,Teen,2025,5,May,24,Saturday,2,21,invalid_email,,4
84,C292,Neha,Female,27.59024064171123,Bengaluru,KARNATAKA,North,electronics,Mouse,1.7333831217326363,2509.2257846153843,5.0,4349.449623668638,0.0,0.0,Cash,2025-09-28,2025-10-08,3.0326678765880217,Yes,John,neha@mail.com,9876543210,Late delivery,,0.0,0.0,10.0,Young,2025,9,September,28,Sunday,3,39,neha,mail.com,4
93,C927,Priya,Female,46.0,Bengaluru,KARNATAKA,North,Electronics,Laptop,9.0,2509.2257846153843,34.767299448867114,22583.03206153846,0.0,999999.0,Credit Card,2025-01-14,2025-01-09,3.0,No,Sara,invalid_email,9876543210,,inf,0.0,-999999.0,-5.0,Middle Age,2025,1,January,14,Tuesday,1,3,invalid_email,,5
99,C451,Rahul,Male,43.0,Bengaluru,KARNATAKA,West,Eletronics,Mouse,1.7333831217326363,2509.2257846153843,20.0,4349.449623668638,882.0429010448679,0.0,Cash,2025-04-05,2025-04-11,3.0,Yes,Sara,invalid_email,98765 43210,Late delivery,,0.0,0.0,6.0,Adult,2025,4,April,5,Saturday,2,14,invalid_email,,5
100,C451,Rahul,Male,48.0,Bengaluru,KARNATAKA,East,electronics,Laptop,1.7333831217326363,228.92,34.767299448867114,396.8060642270351,0.0,999999.0,UPI,2025-02-25,2025-02-26,3.0,No,Sara,invalid_email,98765 43210,Late delivery,inf,0.0,-999999.0,1.0,Middle Age,2025,2,February,25,Tuesday,1,9,invalid_email,,5
101,C227,Priya,Female,27.59024064171123,Bengaluru,KARNATAKA,East,electronics,Laptop,1.7333831217326363,2509.2257846153843,0.0,4349.449623668638,0.0,0.0,Cash,2025-03-28,2025-04-04,5.0,No,John,invalid_email,98765 43210,Late delivery,,0.0,0.0,7.0,Young,2025,3,March,28,Friday,1,13,invalid_email,,5
102,C727,Amit,Male,27.59024064171123,Bengaluru,KARNATAKA,East,Electronics,Phone,8.0,2509.2257846153843,34.767299448867114,20073.806276923075,0.0,0.0,Credit Card,2025-03-07,2025-03-14,2.0,Yes,John,invalid_email,9876543210,Late delivery,,0.0,0.0,7.0,Young,2025,3,March,7,Friday,1,10,invalid_email,,4
104,C727,Amit,Male,27.59024064171123,Bengaluru,KARNATAKA,South,Electronics,Mouse,1.7333831217326363,2509.2257846153843,20.0,4349.449623668638,0.0,0.0,Credit Card,2025-12-02,2025-12-10,3.0,Yes,Sara,invalid_email,98765 43210,,,0.0,0.0,8.0,Young,2025,12,December,2,Tuesday,4,49,invalid_email,,4
105,C727,Aditya,Male,27.59024064171123,Bengaluru,KARNATAKA,West,electronics,Phone,1.7333831217326363,2509.2257846153843,20.0,4349.449623668638,0.0,0.0,Credit Card,2025-01-28,2025-02-02,3.0326678765880217,Yes,Sara,invalid_email,98765 43210,,,0.0,0.0,5.0,Young,2025,1,January,28,Tuesday,1,5,invalid_email,,6
112,C322,Amit,Male,16.8125,Bengaluru,KARNATAKA,South,Eletronics,Mouse,1.7333831217326363,2509.2257846153843,34.767299448867114,4349.449623668638,0.0,0.0,Cash,2025-04-10,2025-04-11,4.0,No,Sara,invalid_email,9876543210,Late delivery,,0.0,0.0,1.0,Teen,2025,4,April,10,Thursday,2,15,invalid_email,,4
118,C451,Priya,Female,34.0,Bengaluru,KARNATAKA,North,Electronics,Laptop,1.7333831217326363,2509.2257846153843,0.0,4349.449623668638,0.0,0.0,Cash,2025-04-06,2025-04-09,3.0,No,John,invalid_email,+91-9876543210,,,0.0,0.0,3.0,Adult,2025,4,April,6,Sunday,2,14,invalid_email,,5
130,C779,Priya,Female,50.0,Bengaluru,KARNATAKA,South,Eletronics,Phone,9.0,2509.2257846153843,0.0,22583.03206153846,0.0,0.0,Cash,2025-09-16,2025-09-24,3.0326678765880217,Yes,John,priya@mail.com,+91-9876543210,,,0.0,0.0,8.0,Middle Age,2025,9,September,16,Tuesday,3,38,priya,mail.com,5
134,C589,Aditya,Male,27.59024064171123,Bengaluru,KARNATAKA,East,Eletronics,Laptop,1.7333831217326363,4646.21,5.0,8053.661994025392,0.0,0.0,Credit Card,2025-02-18,2025-02-28,5.0,No,John,aditya@mail.com,98765 43210,Late delivery,,0.0,0.0,10.0,Young,2025,2,February,18,Tuesday,1,8,aditya,mail.com,6
141,C451,Amit,Male,16.8125,Bengaluru,KARNATAKA,East,Electronics,Laptop,1.7333831217326363,157.35,5.0,272.7478342046303,0.0,999999.0,UPI,2025-08-21,2025-08-23,3.0326678765880217,No,Sara,aditya@mail.com,98765 43210,Late delivery,inf,0.0,-999999.0,2.0,Teen,2025,8,August,21,Thursday,3,34,aditya,mail.com,4
143,C574,Aditya,Male,27.59024064171123,Bengaluru,KARNATAKA,West,electronics,Phone,7.0,2509.2257846153843,0.0,17564.58049230769,0.0,0.0,Credit Card,2025-09-18,2025-09-22,4.0,No,John,amit@mail.com,98765 43210,,,0.0,0.0,4.0,Young,2025,9,September,18,Thursday,3,38,amit,mail.com,6
145,C574,Aditya,Male,16.8125,Bengaluru,KARNATAKA,North,electronics,Laptop,1.0,2509.2257846153843,5.0,2509.2257846153843,0.0,0.0,Credit Card,2025-11-12,2025-11-18,4.0,Yes,John,amit@mail.com,9876543210,,,0.0,0.0,6.0,Teen,2025,11,November,12,Wednesday,4,46,amit,mail.com,6
148,C894,Aditya,Male,34.0,Bengaluru,KARNATAKA,East,Electronics,Laptop,7.0,2509.2257846153843,20.0,17564.58049230769,882.0429010448679,0.0,Credit Card,2025-09-06,2025-08-07,1.0,Yes,John,invalid_email,+91-9876543210,Late delivery,,0.0,0.0,-30.0,Adult,2025,9,September,6,Saturday,3,36,invalid_email,,6
